happiness,户口类型,出生年份,家庭年收入,家庭常驻人口,家庭经济状况,是否参加基本医疗保险,是否参加基本养老保险,是否参加商业医疗保险,是否参加商业养老保险,养老应该由谁负责
比较幸福,城市,1990,80000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1962,50000,4,远低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1985,300000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
非常幸福,城市,1938,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1966,100000,2,无法回答,参加了,参加了,参加了,参加了,主要由子女负责
非常幸福,城市,1977,60000,1,平均水平,参加了,没有参加,参加了,没有参加,主要由子女负责
比较幸福,城市,1952,110000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1943,250000,4,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常不幸福,城市,1956,60000,3,远低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1968,20000,4,远低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1966,拒绝回答,2,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1984,拒绝回答,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1970,35000,2,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1993,50000,2,平均水平,参加了,没有参加,参加了,没有参加,主要由子女负责
比较幸福,城市,1969,200000,3,高于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,农村,1925,200000,6,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1950,120000,2,平均水平,没有参加,没有参加,没有参加,没有参加,主要由政府负责
非常幸福,城市,1978,200000,6,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1973,36000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1934,48000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1943,100000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1958,50000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1987,90000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1954,140000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1982,120000,4,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1981,100000,4,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1975,拒绝回答,2,平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
说不上幸福不幸福,城市,1957,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1952,120000,5,低于平均水平,没有参加,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1994,50000,1,平均水平,参加了,无法回答,没有参加,没有参加,主要由子女负责
比较幸福,城市,1990,300000,8,高于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1982,不知道,5,平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
比较幸福,城市,1941,50000,4,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1973,200000,3,平均水平,参加了,不适用,没有参加,不适用,主要由子女负责
比较幸福,城市,1977,200000,4,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1968,160000,4,平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
比较幸福,城市,1953,24000,2,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1990,200000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1987,50000,1,远低于平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1962,140000,3,平均水平,没有参加,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1996,0,1,远低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1972,200000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1954,180000,5,平均水平,参加了,没有参加,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1962,拒绝回答,3,无法回答,参加了,参加了,参加了,参加了,无法回答
非常幸福,城市,1985,500000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1985,80000,1,远低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1943,90000,2,低于平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1963,60000,2,平均水平,无法回答,无法回答,没有参加,没有参加,主要由子女负责
比较幸福,城市,1960,84000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1977,120000,3,低于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1948,80000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1996,不知道,1,平均水平,无法回答,无法回答,没有参加,无法回答,主要由子女负责
比较幸福,城市,1964,140000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1933,13000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1977,300000,3,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1993,不知道,4,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
非常幸福,城市,1958,30000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1990,不知道,1,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1951,55000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,农村,1988,100000,4,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1981,300000,4,高于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1959,50000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1954,50000,2,高于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1964,60000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1958,60000,2,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由政府负责
比较幸福,城市,1990,不知道,2,无法回答,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1955,50000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1991,55000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1986,150000,2,低于平均水平,参加了,没有参加,参加了,没有参加,主要由子女负责
比较幸福,城市,1954,150000,2,平均水平,没有参加,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1947,24000,4,平均水平,没有参加,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1985,400000,4,高于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1939,42000,2,平均水平,参加了,没有参加,不适用,不适用,政府/子女/老人责任均摊
比较幸福,城市,1953,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1946,200000,2,高于平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1980,40000,1,远低于平均水平,没有参加,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1937,100000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1966,35000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1945,60000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1988,拒绝回答,2,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1963,不知道,6,平均水平,参加了,参加了,参加了,参加了,主要由政府负责
说不上幸福不幸福,城市,1976,4000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1987,5000,1,远低于平均水平,没有参加,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1944,12000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1967,40000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1969,不知道,2,低于平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1975,150000,3,平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1981,14000,2,低于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
非常幸福,城市,1980,不知道,5,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1943,84000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,农村,1966,60000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1955,72000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1989,800000,3,高于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
非常幸福,城市,1954,66000,1,平均水平,参加了,没有参加,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1968,40000,6,远低于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1979,30000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1997,20000,4,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1959,25000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1986,300000,2,平均水平,参加了,没有参加,不适用,不适用,政府/子女/老人责任均摊
非常幸福,城市,1948,66000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1951,30000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1979,250000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1975,80000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1980,200000,4,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1968,80000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1963,36000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1955,43560,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1968,拒绝回答,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1961,拒绝回答,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1966,5000,1,低于平均水平,无法回答,无法回答,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1933,不知道,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1968,70000,3,平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
说不上幸福不幸福,城市,1992,50000,4,平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1969,不知道,3,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1994,300000,不适用,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1991,150000,3,高于平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1977,拒绝回答,4,高于平均水平,参加了,没有参加,参加了,参加了,主要由子女负责
比较幸福,城市,1982,280000,3,高于平均水平,没有参加,没有参加,参加了,没有参加,主要由老人自己负责
非常幸福,城市,1970,400000,1,远高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1950,50000,4,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1950,200000,5,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1959,100000,3,低于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1947,66000,2,低于平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1988,120000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1940,110000,2,平均水平,没有参加,没有参加,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1973,110000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1953,125000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
非常幸福,城市,1959,120000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1949,72000,2,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1967,120000,3,低于平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1991,60000,3,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1956,250000,4,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1986,不知道,2,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1981,70000,4,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1987,230000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1963,25000,4,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1960,100000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1933,150000,4,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1981,3000000,4,远高于平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
非常幸福,城市,1942,42000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1993,0,1,低于平均水平,参加了,没有参加,参加了,没有参加,主要由子女负责
比较幸福,城市,1983,200000,3,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1988,50000,3,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1982,80000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1991,200000,3,高于平均水平,参加了,没有参加,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1982,120000,3,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1934,67200,3,高于平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,农村,1969,50000,4,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较不幸福,农村,1959,0,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1984,130000,3,低于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
非常幸福,城市,1942,100000,2,平均水平,参加了,无法回答,没有参加,没有参加,主要由子女负责
比较幸福,城市,1973,100000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1989,80000,1,低于平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1982,450000,4,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1935,21600,1,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1993,6000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1960,60000,3,平均水平,参加了,没有参加,没有参加,没有参加,主要由政府负责
比较幸福,城市,1977,50000,3,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1990,440000,3,远高于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1972,100000,2,平均水平,参加了,参加了,不适用,不适用,主要由子女负责
比较幸福,城市,1972,60000,3,平均水平,参加了,参加了,没有参加,参加了,主要由子女负责
说不上幸福不幸福,城市,1992,40000,1,低于平均水平,参加了,没有参加,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1987,350000,3,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1989,50000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1956,100000,3,平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1983,60000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1945,60000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1967,30000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1960,100000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1952,96000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1962,75000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1958,50000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1963,100000,3,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1983,150000,5,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1977,拒绝回答,4,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1952,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1964,200000,3,无法回答,参加了,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1981,80000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1935,120000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1984,200000,5,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
说不上幸福不幸福,农村,1962,20000,2,低于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1963,100000,3,高于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1961,90000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1970,300000,3,平均水平,参加了,没有参加,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1965,45000,2,远高于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
非常幸福,城市,1956,100000,4,低于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1985,90000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1969,80000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较不幸福,城市,1985,30000,2,低于平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1953,110000,10,高于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1993,100000,2,平均水平,没有参加,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1972,15000,2,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1963,50000,4,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1988,不知道,4,远低于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1962,50000,4,低于平均水平,参加了,参加了,参加了,参加了,主要由政府负责
比较幸福,城市,1949,30000,3,平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1952,70000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1949,100000,2,低于平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1949,120000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1980,120000,1,平均水平,参加了,参加了,参加了,参加了,主要由政府负责
非常幸福,城市,1949,72000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1967,60000,4,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1966,130000,3,平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,农村,1993,13000,3,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,农村,1967,30000,3,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1987,130000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1980,300000,2,低于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1982,400000,1,无法回答,参加了,参加了,参加了,参加了,主要由政府负责
说不上幸福不幸福,城市,1947,200000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1949,30000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1955,不知道,2,平均水平,参加了,没有参加,没有参加,没有参加,主要由老人自己负责
比较幸福,农村,1987,70000,6,低于平均水平,参加了,没有参加,参加了,没有参加,主要由子女负责
非常幸福,城市,1963,200000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1982,不知道,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1964,30000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1951,79200,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1980,300000,3,平均水平,参加了,参加了,参加了,没有参加,主要由政府负责
比较幸福,城市,1951,170000,4,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1985,240000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1927,15000,2,平均水平,参加了,不适用,没有参加,没有参加,主要由政府负责
比较幸福,城市,1968,200000,3,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1986,100000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1954,70000,2,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1976,60000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1982,500000,3,平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1978,100000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1982,400000,3,平均水平,没有参加,没有参加,参加了,参加了,主要由老人自己负责
