"datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count"
"1294174800000000000","1","0","1","1","9.02","13.635","64","0.0","0","48","48"
"1294178400000000000","1","0","1","1","9.02","12.88","64","6.0032","1","34","35"
"1294182000000000000","1","0","1","1","8.2","11.365","69","6.0032","2","9","11"
"1294185600000000000","1","0","1","1","8.2","12.88","64","0.0","0","6","6"
"1294189200000000000","1","0","1","1","6.56","9.85","74","6.0032","0","6","6"
"1294192800000000000","1","0","1","1","6.56","9.85","74","6.0032","0","2","2"
"1294200000000000000","1","0","1","1","9.84","11.365","48","15.0013","0","2","2"
"1294203600000000000","1","0","1","1","9.02","11.365","47","11.0014","0","3","3"
"1294207200000000000","1","0","1","1","8.2","9.85","47","15.0013","0","33","33"
"1294210800000000000","1","0","1","1","7.38","9.09","43","12.998","1","87","88"
"1294214400000000000","1","0","1","1","8.2","9.09","40","19.9995","3","192","195"
"1294218000000000000","1","0","1","1","9.02","9.85","37","22.0028","6","109","115"
"1294221600000000000","1","0","1","1","9.02","9.85","37","22.0028","4","53","57"
"1294225200000000000","1","0","1","1","10.66","11.365","33","22.0028","12","34","46"
"1294228800000000000","1","0","1","1","10.66","11.365","33","22.0028","5","74","79"
"1294232400000000000","1","0","1","1","11.48","12.88","30","19.9995","6","65","71"
"1294236000000000000","1","0","1","1","12.3","14.395","28","12.998","10","52","62"
"1294239600000000000","1","0","1","1","12.3","14.395","28","12.998","7","55","62"
"1294243200000000000","1","0","1","1","12.3","15.91","28","6.0032","4","85","89"
"1294246800000000000","1","0","1","1","9.84","11.365","38","12.998","4","186","190"
"1294250400000000000","1","0","1","1","9.84","12.12","38","8.9981","3","166","169"
"1294254000000000000","1","0","1","1","9.84","12.88","38","7.0015","5","127","132"
"1294257600000000000","1","0","1","1","9.02","11.365","47","11.0014","7","82","89"
"1294261200000000000","1","0","1","1","8.2","9.85","51","12.998","3","40","43"
"1294264800000000000","1","0","1","1","7.38","9.85","55","8.9981","1","41","42"
"1294268400000000000","1","0","1","1","8.2","12.88","47","0.0","1","18","19"
"1294272000000000000","1","0","1","1","7.38","12.12","55","0.0","0","11","11"
"1294275600000000000","1","0","1","1","6.56","11.365","64","0.0","0","4","4"
"1294279200000000000","1","0","1","1","6.56","11.365","64","0.0","0","2","2"
"1294286400000000000","1","0","1","2","6.56","9.85","64","6.0032","0","1","1"
"1294290000000000000","1","0","1","2","5.74","9.09","69","6.0032","0","4","4"
"1294293600000000000","1","0","1","2","5.74","8.335","63","7.0015","0","36","36"
"1294297200000000000","1","0","1","2","6.56","11.365","59","0.0","0","95","95"
"1294300800000000000","1","0","1","1","6.56","11.365","59","0.0","3","216","219"
"1294304400000000000","1","0","1","2","7.38","12.12","51","0.0","6","116","122"
"1294308000000000000","1","0","1","1","8.2","12.88","47","0.0","3","42","45"
"1294311600000000000","1","0","1","1","9.02","12.88","44","6.0032","2","57","59"
"1294315200000000000","1","0","1","1","10.66","14.395","35","0.0","6","78","84"
"1294318800000000000","1","0","1","1","10.66","13.635","35","7.0015","12","55","67"
"1294322400000000000","1","0","1","1","11.48","13.635","36","11.0014","11","59","70"
"1294326000000000000","1","0","1","1","11.48","13.635","36","0.0","8","54","62"
"1294329600000000000","1","0","1","1","10.66","12.88","38","11.0014","12","74","86"
"1294333200000000000","1","0","1","1","9.02","11.365","51","11.0014","9","163","172"
"1294336800000000000","1","0","1","1","9.02","11.365","51","8.9981","5","158","163"
"1294340400000000000","1","0","1","1","9.02","12.88","55","6.0032","3","109","112"
"1294344000000000000","1","0","1","1","8.2","10.605","51","11.0014","3","66","69"
"1294347600000000000","1","0","1","2","9.02","10.605","55","15.0013","0","48","48"
"1294351200000000000","1","0","1","2","9.02","10.605","51","19.0012","1","51","52"
"1294354800000000000","1","0","1","2","8.2","9.85","59","12.998","4","19","23"
"1294358400000000000","1","0","1","2","8.2","9.85","64","12.998","4","13","17"
"1294362000000000000","1","0","1","2","8.2","9.85","69","15.0013","2","5","7"
"1294365600000000000","1","0","1","2","8.2","9.85","69","15.0013","0","1","1"
"1294372800000000000","1","0","1","2","8.2","10.605","69","8.9981","0","1","1"
"1294376400000000000","1","0","1","3","9.02","13.635","55","0.0","0","5","5"
"1294380000000000000","1","0","1","2","8.2","12.88","69","0.0","8","26","34"
"1294383600000000000","1","0","1","1","8.2","10.605","69","8.9981","8","76","84"
"1294387200000000000","1","0","1","1","8.2","9.85","51","16.9979","20","190","210"
"1294390800000000000","1","0","1","1","8.2","9.09","47","19.9995","9","125","134"
"1294394400000000000","1","0","1","1","9.02","9.85","37","22.0028","16","47","63"
"1294398000000000000","1","0","1","2","8.2","9.85","40","15.0013","19","48","67"
"1294401600000000000","1","0","1","2","8.2","9.85","37","16.9979","9","50","59"
"1294405200000000000","1","0","1","2","8.2","9.09","37","19.0012","9","64","73"
"1294408800000000000","1","0","1","2","8.2","9.85","40","16.9979","7","43","50"
"1294412400000000000","1","0","1","2","8.2","10.605","37","11.0014","9","63","72"
"1294416000000000000","1","0","1","2","8.2","10.605","37","11.0014","5","82","87"
"1294419600000000000","1","0","1","2","8.2","12.88","37","0.0","9","178","187"
"1294423200000000000","1","0","1","1","8.2","11.365","40","6.0032","7","116","123"
"1294426800000000000","1","0","1","1","6.56","9.85","55","6.0032","3","92","95"
"1294430400000000000","1","0","1","1","7.38","10.605","47","7.0015","1","50","51"
"1294434000000000000","1","0","1","1","7.38","9.85","47","8.9981","0","39","39"
"1294437600000000000","1","0","1","2","7.38","9.85","43","11.0014","2","34","36"
"1294441200000000000","1","0","1","2","7.38","9.85","51","11.0014","1","14","15"
"1294444800000000000","1","0","0","2","7.38","9.85","51","11.0014","1","24","25"
"1294448400000000000","1","0","0","2","7.38","10.605","55","6.0032","1","15","16"
"1294452000000000000","1","0","0","2","7.38","12.12","55","0.0","3","13","16"
"1294455600000000000","1","0","0","3","7.38","9.85","55","11.0014","0","7","7"
"1294459200000000000","1","0","0","3","7.38","9.85","55","11.0014","0","1","1"
"1294462800000000000","1","0","0","2","6.56","8.335","74","11.0014","0","5","5"
"1294466400000000000","1","0","0","2","6.56","8.335","74","11.0014","0","2","2"
"1294470000000000000","1","0","0","2","6.56","9.09","74","7.0015","1","8","9"
"1294473600000000000","1","0","0","3","6.56","9.09","93","7.0015","0","15","15"
"1294477200000000000","1","0","0","3","6.56","9.09","93","7.0015","0","20","20"
"1294480800000000000","1","0","0","2","7.38","9.85","80","11.0014","5","56","61"
"1294484400000000000","1","0","0","2","8.2","9.09","69","26.0027","2","60","62"
"1294488000000000000","1","0","0","2","8.2","9.09","59","23.9994","8","90","98"
"1294491600000000000","1","0","0","1","8.2","9.09","44","22.0028","7","95","102"
"1294495200000000000","1","0","0","1","8.2","8.335","32","32.9975","12","83","95"
"1294498800000000000","1","0","0","1","8.2","8.335","32","30.0026","5","69","74"
"1294502400000000000","1","0","0","1","7.38","6.82","29","30.0026","8","68","76"
"1294506000000000000","1","0","0","1","6.56","6.06","37","36.9974","5","64","69"
"1294509600000000000","1","0","0","1","5.74","6.06","39","19.9995","3","52","55"
"1294513200000000000","1","0","0","1","5.74","6.06","36","16.9979","4","26","30"
"1294516800000000000","1","0","0","1","4.92","6.06","36","16.9979","0","28","28"
"1294520400000000000","1","0","0","1","4.92","5.305","39","23.9994","2","35","37"
"1294524000000000000","1","0","0","1","4.92","5.305","36","26.0027","1","33","34"
"1294527600000000000","1","0","0","1","4.1","3.03","39","30.0026","0","22","22"
"1294531200000000000","1","0","0","1","4.1","3.79","42","26.0027","1","24","25"
"1294534800000000000","1","0","0","1","4.1","3.03","42","31.0009","0","12","12"
"1294538400000000000","1","0","0","1","4.1","3.03","46","31.0009","0","11","11"
"1294542000000000000","1","0","0","1","4.1","3.79","46","27.9993","0","4","4"
"1294545600000000000","1","0","0","1","3.28","4.545","53","12.998","0","1","1"
"1294549200000000000","1","0","0","1","3.28","4.545","53","12.998","0","1","1"
"1294552800000000000","1","0","0","1","4.1","4.545","49","19.0012","0","1","1"
"1294556400000000000","1","0","0","1","3.28","4.545","53","12.998","1","5","6"
"1294560000000000000","1","0","0","1","4.1","4.545","49","19.0012","0","10","10"
"1294563600000000000","1","0","0","1","4.92","3.79","46","35.0008","0","19","19"
"1294567200000000000","1","0","0","1","5.74","5.305","43","26.0027","0","49","49"
"1294570800000000000","1","0","0","1","6.56","6.06","40","35.0008","2","47","49"
"1294574400000000000","1","0","0","1","7.38","6.82","37","30.0026","4","79","83"
"1294578000000000000","1","0","0","1","8.2","8.335","34","30.0026","6","69","75"
"1294581600000000000","1","0","0","1","9.02","9.09","32","31.0009","8","64","72"
"1294585200000000000","1","0","0","1","9.02","9.85","35","23.9994","5","77","82"
"1294588800000000000","1","0","0","1","8.2","8.335","34","30.0026","13","79","92"
"1294592400000000000","1","0","0","1","7.38","7.575","37","26.0027","3","59","62"
"1294596000000000000","1","0","0","1","6.56","6.82","40","22.0028","4","44","48"
"1294599600000000000","1","0","0","1","6.56","6.82","43","22.0028","1","40","41"
"1294603200000000000","1","0","0","1","5.74","6.06","46","16.9979","0","38","38"
"1294606800000000000","1","0","0","1","5.74","5.305","46","27.9993","1","19","20"
"1294610400000000000","1","0","0","1","5.74","6.06","46","19.9995","5","10","15"
"1294614000000000000","1","0","0","1","4.92","6.82","50","12.998","0","6","6"
"1294617600000000000","1","0","1","1","4.92","6.06","50","19.0012","2","3","5"
"1294621200000000000","1","0","1","1","4.92","6.06","50","19.0012","1","0","1"
"1294624800000000000","1","0","1","1","4.92","6.06","50","15.0013","0","3","3"
"1294628400000000000","1","0","1","1","4.92","6.06","50","15.0013","0","1","1"
"1294632000000000000","1","0","1","1","4.1","6.06","54","8.9981","1","2","3"
"1294635600000000000","1","0","1","1","4.1","5.305","54","16.9979","0","3","3"
"1294639200000000000","1","0","1","1","4.92","6.06","50","19.0012","0","31","31"
"1294642800000000000","1","0","1","1","4.92","6.06","50","15.0013","2","75","77"
"1294646400000000000","1","0","1","2","4.92","6.06","50","19.0012","4","184","188"
"1294650000000000000","1","0","1","2","5.74","6.06","50","16.9979","2","92","94"
"1294653600000000000","1","0","1","2","5.74","6.06","50","19.9995","0","31","31"
"1294657200000000000","1","0","1","2","6.56","6.82","47","19.0012","2","28","30"
"1294660800000000000","1","0","1","2","8.2","9.09","40","19.0012","5","47","52"
"1294664400000000000","1","0","1","2","8.2","9.09","40","19.0012","4","50","54"
"1294668000000000000","1","0","1","2","8.2","9.85","40","15.0013","0","47","47"
"1294671600000000000","1","0","1","2","8.2","9.85","40","15.0013","2","43","45"
"1294675200000000000","1","0","1","1","8.2","10.605","40","8.9981","4","70","74"
"1294678800000000000","1","0","1","1","8.2","11.365","40","7.0015","4","174","178"
"1294682400000000000","1","0","1","1","8.2","9.85","40","15.0013","1","154","155"
"1294686000000000000","1","0","1","1","6.56","8.335","47","11.0014","3","92","95"
"1294689600000000000","1","0","1","1","6.56","8.335","50","11.0014","1","73","74"
"1294693200000000000","1","0","1","1","5.74","6.82","59","12.998","1","37","38"
"1294696800000000000","1","0","1","1","5.74","7.575","59","11.0014","2","22","24"
"1294700400000000000","1","0","1","1","5.74","7.575","59","11.0014","0","18","18"
"1294704000000000000","1","0","1","1","5.74","8.335","59","7.0015","2","10","12"
"1294707600000000000","1","0","1","1","5.74","7.575","59","11.0014","0","3","3"
"1294711200000000000","1","0","1","2","6.56","7.575","55","12.998","0","3","3"
"1294722000000000000","1","0","1","2","6.56","9.09","55","8.9981","0","6","6"
"1294725600000000000","1","0","1","2","6.56","9.09","55","8.9981","0","27","27"
"1294729200000000000","1","0","1","2","6.56","11.365","55","0.0","2","97","99"
"1294732800000000000","1","0","1","2","7.38","10.605","51","6.0032","3","214","217"
"1294736400000000000","1","0","1","2","7.38","9.85","51","11.0014","3","127","130"
"1294740000000000000","1","0","1","2","8.2","10.605","51","11.0014","3","51","54"
"1294743600000000000","1","0","1","2","8.2","10.605","47","8.9981","4","31","35"
"1294747200000000000","1","0","1","2","8.2","11.365","51","7.0015","2","55","57"
"1294750800000000000","1","0","1","2","8.2","11.365","59","6.0032","6","46","52"
"1294754400000000000","1","0","1","2","8.2","11.365","59","6.0032","3","60","63"
"1294758000000000000","1","0","1","2","6.56","9.85","80","6.0032","2","45","47"
"1294761600000000000","1","0","1","2","6.56","7.575","86","15.0013","4","72","76"
"1294765200000000000","1","0","1","2","6.56","7.575","86","15.0013","6","130","136"
"1294768800000000000","1","0","1","3","6.56","9.09","93","7.0015","1","94","95"
"1294772400000000000","1","0","1","3","6.56","11.365","93","0.0","0","51","51"
"1294776000000000000","1","0","1","3","6.56","7.575","93","12.998","0","32","32"
"1294779600000000000","1","0","1","3","6.56","9.85","86","6.0032","0","20","20"
"1294783200000000000","1","0","1","3","6.56","9.09","93","7.0015","1","28","29"
"1294786800000000000","1","0","1","3","6.56","9.85","93","6.0032","1","18","19"
"1294790400000000000","1","0","1","2","6.56","9.85","86","6.0032","0","7","7"
"1294794000000000000","1","0","1","2","6.56","9.09","86","7.0015","0","6","6"
"1294797600000000000","1","0","1","1","5.74","7.575","86","8.9981","0","1","1"
"1294808400000000000","1","0","1","1","5.74","7.575","86","11.0014","0","5","5"
"1294812000000000000","1","0","1","1","4.92","7.575","93","8.9981","0","16","16"
"1294815600000000000","1","0","1","1","5.74","7.575","69","8.9981","0","54","54"
"1294819200000000000","1","0","1","1","6.56","8.335","59","11.0014","3","125","128"
"1294822800000000000","1","0","1","1","6.56","6.82","59","22.0028","3","78","81"
"1294826400000000000","1","0","1","1","7.38","9.09","55","15.0013","0","39","39"
"1294830000000000000","1","0","1","1","8.2","9.09","51","26.0027","3","32","35"
"1294833600000000000","1","0","1","1","8.2","7.575","47","39.0007","3","52","55"
"1294837200000000000","1","0","1","1","9.02","9.85","44","23.9994","0","49","49"
"1294840800000000000","1","0","1","1","8.2","9.09","47","22.0028","0","44","44"
"1294844400000000000","1","0","1","1","8.2","8.335","47","27.9993","1","48","49"
"1294848000000000000","1","0","1","1","9.02","9.85","44","22.0028","5","63","68"
"1294851600000000000","1","0","1","1","8.2","9.09","47","23.9994","0","139","139"
"1294855200000000000","1","0","1","1","8.2","7.575","47","35.0008","2","135","137"
"1294858800000000000","1","0","1","1","7.38","7.575","47","27.9993","1","82","83"
"1294862400000000000","1","0","1","1","6.56","6.82","50","22.0028","2","54","56"
"1294866000000000000","1","0","1","1","6.56","6.82","55","22.0028","0","57","57"
"1294869600000000000","1","0","1","1","6.56","6.06","55","30.0026","1","32","33"
"1294873200000000000","1","0","1","1","5.74","5.305","59","27.9993","1","19","20"
"1294876800000000000","1","0","1","1","5.74","6.06","59","19.0012","1","6","7"
"1294880400000000000","1","0","1","1","5.74","6.06","50","19.0012","0","2","2"
"1294884000000000000","1","0","1","1","5.74","6.06","50","23.9994","0","2","2"
"1294887600000000000","1","0","1","1","5.74","6.06","50","22.0028","0","3","3"
"1294891200000000000","1","0","1","1","5.74","6.06","50","16.9979","0","4","4"
"1294894800000000000","1","0","1","1","5.74","6.06","50","19.9995","0","3","3"
"1294898400000000000","1","0","1","1","4.92","7.575","54","8.9981","0","28","28"
"1294902000000000000","1","0","1","1","4.92","7.575","54","8.9981","0","72","72"
"1294905600000000000","1","0","1","1","5.74","6.82","50","12.998","5","197","202"
"1294909200000000000","1","0","1","1","5.74","6.06","50","22.0028","2","137","139"
"1294912800000000000","1","0","1","2","6.56","6.82","50","23.9994","2","36","38"
"1294916400000000000","1","0","1","2","8.2","8.335","44","30.0026","4","33","37"
"1294920000000000000","1","0","1","1","8.2","8.335","44","27.9993","3","49","52"
"1294923600000000000","1","0","1","1","9.02","9.85","41","30.0026","2","81","83"
"1294927200000000000","1","0","1","1","9.02","9.85","41","26.0027","3","39","42"
"1294930800000000000","1","0","1","1","9.84","10.605","38","19.9995","5","55","60"
"1294934400000000000","1","0","1","1","9.84","10.605","38","23.9994","2","76","78"
"1294938000000000000","1","0","1","1","8.2","9.09","40","19.0012","4","158","162"
"1294941600000000000","1","0","1","1","8.2","9.09","40","22.0028","3","141","144"
"1294945200000000000","1","0","1","1","6.56","7.575","47","16.9979","1","98","99"
"1294948800000000000","1","0","1","1","6.56","7.575","47","15.0013","0","64","64"
"1294952400000000000","1","0","1","1","5.74","6.06","46","19.9995","0","40","40"
"1294956000000000000","1","0","1","1","5.74","6.06","46","22.0028","0","30","30"
"1294959600000000000","1","0","1","1","4.92","6.82","50","12.998","1","14","15"
"1294963200000000000","1","0","1","1","4.92","6.82","50","12.998","0","14","14"
"1294966800000000000","1","0","1","1","4.1","6.06","54","11.0014","0","5","5"
"1294970400000000000","1","0","1","1","4.1","6.06","54","8.9981","0","1","1"
"1294974000000000000","1","0","1","1","4.1","6.82","54","7.0015","0","1","1"
"1294981200000000000","1","0","1","1","4.1","6.82","54","6.0032","0","8","8"
"1294984800000000000","1","0","1","1","4.1","9.09","54","0.0","0","17","17"
"1294988400000000000","1","0","1","1","4.1","6.06","74","11.0014","0","70","70"
"1294992000000000000","1","0","1","1","4.92","8.335","68","0.0","2","156","158"
"1294995600000000000","1","0","1","1","5.74","7.575","69","8.9981","0","117","117"
"1294999200000000000","1","0","1","1","7.38","9.09","55","12.998","4","40","44"
"1295002800000000000","1","0","1","1","7.38","8.335","51","19.0012","6","47","53"
"1295006400000000000","1","0","1","1","8.2","9.85","44","16.9979","2","59","61"
"1295010000000000000","1","0","1","1","9.02","9.85","37","26.0027","4","73","77"
"1295013600000000000","1","0","1","1","9.02","10.605","41","19.0012","5","59","64"
"1295017200000000000","1","0","1","1","9.84","12.12","38","11.0014","9","59","68"
"1295020800000000000","1","0","1","1","9.02","12.12","41","7.0015","3","87","90"
"1295024400000000000","1","0","1","1","9.02","11.365","41","11.0014","4","155","159"
"1295028000000000000","1","0","1","1","8.2","12.88","47","0.0","5","134","139"
"1295031600000000000","1","0","1","1","6.56","9.85","59","6.0032","3","89","92"
"1295035200000000000","1","0","1","1","7.38","12.12","59","0.0","0","68","68"
"1295038800000000000","1","0","1","1","6.56","11.365","69","0.0","4","48","52"
"1295042400000000000","1","0","1","2","6.56","11.365","69","0.0","2","34","36"
"1295046000000000000","1","0","1","2","7.38","12.12","55","0.0","1","26","27"
"1295049600000000000","1","0","0","1","7.38","12.12","55","0.0","3","25","28"
"1295053200000000000","1","0","0","2","6.56","9.85","59","6.0032","2","18","20"
"1295056800000000000","1","0","0","2","6.56","9.85","59","6.0032","0","12","12"
"1295060400000000000","1","0","0","2","6.56","11.365","59","0.0","1","7","8"
"1295064000000000000","1","0","0","2","6.56","11.365","59","0.0","0","5","5"
"1295067600000000000","1","0","0","1","6.56","11.365","59","0.0","0","1","1"
"1295071200000000000","1","0","0","1","5.74","8.335","63","7.0015","1","2","3"
"1295074800000000000","1","0","0","1","5.74","10.605","63","0.0","1","9","10"
"1295078400000000000","1","0","0","1","5.74","7.575","63","8.9981","1","22","23"
"1295082000000000000","1","0","0","1","6.56","9.09","64","8.9981","2","31","33"
"1295085600000000000","1","0","0","1","7.38","9.85","59","11.0014","2","57","59"
"1295089200000000000","1","0","0","1","8.2","9.85","55","15.0013","18","54","72"
"1295092800000000000","1","0","0","1","9.84","11.365","48","15.0013","15","74","89"
"1295096400000000000","1","0","0","1","11.48","12.88","38","19.9995","21","80","101"
"1295100000000000000","1","0","0","1","12.3","14.395","39","19.0012","26","92","118"
"1295103600000000000","1","0","0","2","13.12","15.91","36","12.998","21","108","129"
"1295107200000000000","1","0","0","2","13.94","16.665","34","12.998","33","95","128"
"1295110800000000000","1","0","0","2","13.12","15.15","36","19.0012","29","54","83"
"1295114400000000000","1","0","0","2","12.3","14.395","45","16.9979","15","69","84"
"1295118000000000000","1","0","0","2","13.12","15.15","39","16.9979","14","60","74"
"1295121600000000000","1","0","0","2","13.12","15.15","39","16.9979","6","35","41"
"1295125200000000000","1","0","0","2","13.12","15.15","39","15.0013","6","51","57"
"1295128800000000000","1","0","0","2","12.3","15.91","42","7.0015","0","26","26"
"1295132400000000000","1","0","0","1","12.3","14.395","45","19.0012","5","39","44"
"1295136000000000000","1","0","0","1","10.66","15.15","56","0.0","6","33","39"
"1295139600000000000","1","0","0","1","10.66","13.635","56","8.9981","4","19","23"
"1295143200000000000","1","0","0","1","10.66","14.395","56","6.0032","3","13","16"
"1295146800000000000","1","0","0","1","9.02","13.635","69","0.0","9","6","15"
"1295150400000000000","1","0","0","1","10.66","12.88","56","11.0014","0","1","1"
"1295154000000000000","1","0","0","2","10.66","12.88","56","11.0014","1","1","2"
"1295157600000000000","1","0","0","2","10.66","12.88","56","11.0014","0","1","1"
"1295161200000000000","1","0","0","2","9.84","10.605","56","19.9995","0","3","3"
"1295164800000000000","1","0","0","1","9.02","10.605","55","19.0012","0","18","18"
"1295168400000000000","1","0","0","1","9.02","10.605","51","16.9979","3","29","32"
