类别,行政区,点评数,口味,环境,服务,人均消费
烧烤,K,9,6.8,6.7,6.8,30
啡厅,K,12,6.8,6.7,6.8,0
料理,K,1,7.1,7.1,7.1,0
料理,K,0,0,0,0,0
美食,K,7,7.1,7.2,7.2,11
美食,K,1,7,6.9,6.9,0
烧烤,K,8,7.3,7.3,7.3,19
本菜,K,30,7.2,7.4,7.1,65
川菜,K,59,6.8,6.9,6.8,52
湘菜,K,3,6.9,6.9,6.9,0
湘菜,K,14,7.2,7,7.2,38
湘菜,K,3,6.9,6.9,6.9,0
北菜,K,129,7.5,6.9,7.4,44
疆菜,K,26,7.2,6.9,7.1,29
常菜,K,1,6.9,6.9,6.9,0
川菜,K,8,7.3,7.1,7.2,55
烧烤,K,17,6.5,6.6,6.6,84
烧烤,K,4,7.4,7.4,7.4,0
烧烤,K,7,7.5,7.4,7.5,0
粤菜,K,0,0,0,0,0
湘菜,K,0,0,0,0,0
火锅,K,63,7.8,7.8,8,63
快餐,K,254,8.2,7.8,8,21
快餐,K,254,8.2,7.8,8,21
快餐,K,12,7,6.6,6.9,14
快餐,K,10,7.1,6.9,6.7,15
烧烤,K,9,7.3,7.3,7,34
北菜,K,8,7,7.1,7.1,0
料理,K,1,7.7,7.7,7.7,0
美食,K,48,7,6.9,7,44
州菜,K,0,0,0,0,0
西餐,K,349,8.5,8.4,8.4,78
西餐,K,349,8.5,8.4,8.4,78
西餐,K,349,8.5,8.4,8.4,78
火锅,K,124,7.3,7.3,7.3,51
西餐,K,5,7.5,7.5,7.5,0
美食,K,6,7.5,7.7,7.3,13
烧烤,K,201,7.5,7.2,7.6,51
甜点,K,46,7.8,8.2,8,15
快餐,K,9,7.3,7.2,7.3,16
快餐,K,1,7.4,7.4,7.1,0
川菜,K,333,8.6,7.9,8.2,64
火锅,K,164,7.2,7.3,7.4,68
啡厅,K,6,7.2,6.9,7.1,0
本菜,K,1,7.4,7.1,7.4,0
常菜,K,0,0,0,0,0
火锅,K,19,6.9,6.8,7,58
海鲜,K,0,0,0,0,0
烧烤,K,2,6.7,6.8,7.2,0
啡厅,K,1,7.2,7.2,7.2,0
龙虾,K,0,0,0,0,0
美食,K,14,7.2,7.1,7.1,10
川菜,K,53,7.3,7.2,7.3,22
北菜,K,18,6.9,6.9,7,66
啡厅,K,38,7.1,7.1,6.9,25
北菜,K,0,0,0,0,0
常菜,K,0,0,0,0,0
浙菜,K,1564,7,7.8,6.6,98
川菜,K,3,7.4,7,7.3,0
粤菜,K,0,0,0,0,0
料理,K,4,7.2,7.2,7.1,0
西菜,K,0,0,0,0,0
西餐,K,8,7.6,7.5,7.6,0
川菜,K,14,7.2,7.2,7,37
本菜,K,36,6.9,7.8,7.9,105
浙菜,K,338,8.4,7.1,7.3,148
烧烤,K,2,7.5,7.5,7.5,0
烧烤,K,2,7.5,7.5,7.5,0
啡厅,K,4,6.8,6.9,6.9,10
川菜,K,7,7.4,7.2,7.4,0
本菜,K,2,7,7,7,0
本菜,K,0,0,0,0,0
浙菜,K,204,8.1,8.2,7.9,110
本菜,K,0,0,0,0,0
浙菜,K,284,8,7.5,7.9,77
湘菜,K,0,0,0,0,0
美食,K,4,7.4,7.3,7.3,0
粤菜,K,0,0,0,0,0
湾菜,K,0,0,0,0,0
粤菜,H,0,0,0,0,0
常菜,K,0,0,0,0,0
常菜,K,0,0,0,0,0
美食,K,5,7.3,7,7,0
常菜,K,0,0,0,0,0
川菜,K,3,6.4,6.7,6.7,0
海鲜,K,3,7.3,7.3,7.2,0
美食,K,15,7.4,7.3,7.3,0
火锅,N,5,7.4,7.3,7.4,0
北菜,K,0,0,0,0,0
海鲜,K,31,6.9,7,6.9,68
本菜,K,0,0,0,0,0
素菜,K,0,0,0,0,0
快餐,K,0,0,0,0,0
海鲜,K,0,0,0,0,0
浙菜,K,80,7.1,7,7,85
浙菜,K,80,7.1,7,7,85
海鲜,K,7,7.1,6.7,7.3,0
海鲜,K,2,6.9,6.7,6.7,0
海鲜,K,0,0,0,0,0
海鲜,K,42,7.4,7.1,7.2,81
常菜,K,0,0,0,0,0
海鲜,K,0,0,0,0,0
海鲜,K,0,0,0,0,0
火锅,K,8,6.9,6.9,6.8,0
海鲜,K,39,7.8,7.5,7.7,120
海鲜,K,149,7.3,6.8,6.8,124
龙虾,K,0,0,0,0,0
快餐,I,19,7.4,7.3,7.4,10
海鲜,K,136,7.5,7.2,7.5,75
海鲜,K,51,7.4,6.9,7,100
快餐,K,0,0,0,0,0
海鲜,K,0,0,0,0,0
海鲜,K,8,7.1,6.7,6.8,44
海鲜,K,6,7.1,7.2,7.4,90
美食,K,1,6.9,6.9,6.9,0
海鲜,K,42,6.8,6.8,6.8,71
海鲜,K,10,7,6.7,6.9,0
海鲜,K,2,7.4,7.1,7.1,0
浙菜,K,52,8.4,7.9,8.4,86
西餐,K,14,8,8,8,38
海鲜,K,613,8.4,7.6,7.3,150
北菜,K,0,0,0,0,0
常菜,K,0,0,0,0,0
美食,K,6,7.3,7.1,7.2,0
粤菜,K,2,7.2,7.2,7.2,0
龙虾,I,0,0,0,0,0
龙虾,I,0,0,0,0,0
美食,K,5,7.1,7,7,0
西餐,A,0,0,0,0,0
海鲜,K,26,6.6,6.7,6.8,76
川菜,K,7,7,6.9,7,0
川菜,K,1,7.3,7.1,7.1,0
湘菜,K,1,6.9,6.9,6.9,0
湘菜,K,0,0,0,0,0
快餐,K,4,7,6.8,6.9,12
川菜,K,1,6.9,7,7,0
川菜,K,1,6.9,6.9,6.9,0
烧烤,K,1,7,7,7,0
烧烤,K,1,6.9,6.9,6.9,19
常菜,K,1,7,7.1,7.1,0
海鲜,K,0,0,0,0,0
海鲜,K,0,0,0,0,0
烧烤,K,0,0,0,0,0
湘菜,K,5,7.2,6.9,7.2,30
快餐,K,13,6.9,6.7,6.7,17
常菜,K,0,0,0,0,0
火锅,K,28,7.1,7.1,7.1,76
龙虾,K,3,7.2,7,7,0
美食,K,11,7.4,7.6,7.5,0
本菜,K,0,0,0,0,0
西餐,K,46,7.2,7.2,7.1,34
啡厅,K,73,7.3,7.5,7.4,42
西餐,K,46,7.2,7.2,7.1,34
西餐,K,67,6.9,7.1,7,131
啡厅,K,35,7.6,7.7,7.7,32
海鲜,K,14,7.1,7.1,7.1,75
烧烤,K,1,7.2,7.2,7.2,0
湘菜,K,60,7.1,7.1,7.2,54
粤菜,K,19,7.1,7,7,29
西餐,K,7,7.8,7.8,7.8,0
浙菜,K,325,7.5,8.3,7.5,59
快餐,K,2,7.2,7.1,7.2,0
川菜,K,8,7.6,7.6,7.8,0
粤菜,K,21,7.3,7.4,7.4,0
西餐,K,7,7.8,7.6,7.8,0
美食,K,36,7.7,7.9,7.7,69
海鲜,K,0,0,0,0,0
浙菜,K,44,6.8,6.8,6.3,108
蟹宴,K,19,6.7,6.8,6.7,74
浙菜,K,26,7.2,7.3,7.2,73
川菜,K,107,8.2,8.1,8,79
川菜,K,99,7.5,7.4,7.4,62
川菜,K,23,6.8,6.9,6.9,47
粤菜,K,99,6.8,7,6.9,87
湘菜,K,300,7,7.3,6.6,78
火锅,K,68,7.9,7.7,7.4,76
火锅,K,229,7.7,7.4,7.7,80
火锅,K,184,7.5,7.7,7.2,100
火锅,K,3,7.3,7.3,7.3,0
火锅,K,510,6.9,7.3,7.2,96
火锅,K,51,7.1,6.9,7,74
火锅,K,41,7.1,7.1,7.1,50
本菜,K,168,7.3,7.3,7.3,61
本菜,K,11,6.9,7,7,34
料理,K,182,7.1,7.2,7.2,69
料理,K,197,7.3,7.9,7.5,61
料理,K,187,6.5,6.8,6.6,51
料理,K,0,0,0,0,0
西餐,K,103,7.1,7.3,7.1,39
快餐,K,72,7.4,7.4,7.5,33
西餐,K,104,6.2,6.5,6.5,77
西餐,K,11,6,6.6,6.4,50
美食,K,135,7.5,7.4,7.5,89
啡厅,K,24,7,7.4,7.2,17
蟹宴,K,19,6.7,6.8,6.7,74
快餐,K,119,7.5,7.8,7.8,33
快餐,K,6,7.4,6.9,7.1,0
快餐,K,45,7.2,7,7.2,13
快餐,K,1,7.1,7,7,0
龙虾,K,0,0,0,0,0
海鲜,K,15,7.5,7.4,7.4,29
浙菜,K,44,6.8,6.8,6.3,108
本菜,K,168,7.3,7.3,7.3,61
快餐,K,72,7.4,7.4,7.5,33
美食,K,2,7.6,7.6,7.6,0
助餐,K,0,0,0,0,0
料理,K,8,6.9,6.9,7.2,62
甜点,K,6,7.9,8,7.9,19
火锅,H,0,0,0,0,0
快餐,H,0,0,0,0,0
料理,K,0,0,0,0,0
火锅,K,3,7.4,7,7.7,0
北菜,K,0,0,0,0,33
常菜,K,0,0,0,0,0
烧烤,K,10,7.2,6.9,7.2,46
美食,K,11,7.1,7.3,7.3,0
美食,K,11,7.1,7.1,7.1,0
火锅,K,18,6.6,6.4,6.5,0
疆菜,K,0,0,0,0,0
甜点,K,7,7.3,7.1,7.1,10
美食,K,1,7.2,7.2,7.2,0
海鲜,K,0,0,0,0,0
美食,K,2,7.5,7.5,7.5,0
美食,K,1,7.2,7.2,7.2,0
快餐,K,0,0,0,0,0
浙菜,K,41,7.1,6.8,7.1,41
湾菜,K,1,6.9,6.9,6.9,0
烧烤,K,5,7.3,7.1,7.3,34
浙菜,K,22,7.2,7.2,7.1,0
湾菜,K,0,0,0,0,0
助餐,K,0,0,0,0,0
粤菜,K,320,6.2,6.7,6.3,88
湘菜,K,235,7.4,7.3,7.2,34
湾菜,K,597,7.7,8.4,8.3,37
快餐,K,384,8.1,8.1,7.9,37
快餐,K,58,7.6,7.6,7.5,41
快餐,K,163,7.3,7.3,7.3,28
快餐,K,177,6.7,6.9,6.8,34
快餐,K,299,7,7.3,7,38
快餐,K,361,6.9,6.9,6.9,36
本菜,K,974,6.1,6,5.4,57
料理,K,6,6.9,6.9,6.9,0
啡厅,K,339,7.8,7.5,7.5,41
甜点,K,81,7.7,7.5,7.8,20
美食,K,53,6.6,6.7,6.2,116
美食,K,7,7,7,6.5,0
啡厅,K,339,7.8,7.5,7.5,41
啡厅,K,117,7.1,7.4,7.2,37
啡厅,K,67,7,7,6.8,49
啡厅,K,40,6.5,6.6,6.5,79
粤菜,K,320,6.2,6.7,6.3,88
浙菜,K,6,7.5,7.5,7.5,0
川菜,K,6,7.6,7.2,7.3,0
粤菜,K,273,6.3,6.6,5.9,55
料理,K,87,6.7,6.9,6.8,55
西餐,K,170,6.3,6.5,6.4,62
啡厅,K,269,7.8,7.5,7.4,39
啡厅,K,63,7.5,7.4,7.4,43
甜点,K,42,7.6,7.6,7.3,17
啡厅,K,269,7.8,7.5,7.4,39
啡厅,K,63,7.5,7.4,7.4,43
啡厅,K,155,7.3,7.5,7.3,56
啡厅,K,16,6.7,7,7,83
甜点,K,42,7.6,7.6,7.3,17
甜点,K,42,7.6,7.6,7.3,17
快餐,K,1148,7.4,7.4,7.1,39
粤菜,K,46,6.1,7.1,6.5,75
粤菜,K,0,0,0,0,0
快餐,K,39,7.6,7.4,7.3,0
西餐,K,29,6.8,7.1,6.9,65
啡厅,K,448,8.1,7.8,7.6,40
啡厅,K,32,7.4,7.2,7.3,36
啡厅,K,448,8.1,7.8,7.6,40
啡厅,K,48,7.2,7.1,7.1,42
啡厅,K,32,7.4,7.2,7.3,36
啡厅,K,141,7.4,7.5,7.4,49
啡厅,K,19,6.8,6.8,6.7,95
啡厅,K,48,7.2,7.1,7.1,42
快餐,K,2,7,7,7,15
快餐,K,1,7,7,7,0
龙虾,K,0,0,0,0,0
西餐,K,14,7.9,8,7.9,0
西餐,K,4,6.4,6.8,6.5,0
啡厅,K,23,7.2,7.3,7.3,0
湘菜,,0,0,0,0,0
快餐,,1,7.2,6.8,6.8,0
甜点,,4,7.7,7.7,7.7,0
甜点,,2,7.2,7.2,7.2,0
甜点,,0,0,0,0,0
快餐,,0,0,0,0,0
甜点,,2,7.2,7.2,7.2,0
快餐,I,4,7,6.8,6.9,0
快餐,I,0,0,0,0,0
啡厅,K,18,6.5,6.6,6.4,39
啡厅,K,18,6.5,6.6,6.4,39
快餐,K,167,7.5,7.5,7.5,45
快餐,K,18,7,7.1,6.8,0
浙菜,K,49,6.6,6.9,6.5,96
湾菜,K,0,0,0,0,0
浙菜,K,453,5.8,6.2,5.3,100
粤菜,K,248,6.1,6.6,6.4,82
粤菜,K,4,6.9,6.9,6.9,0
快餐,K,85,7.3,7.5,7.1,43
啡厅,K,65,7.5,7.7,7.4,67
西餐,K,48,7.2,7.2,6.9,56
西餐,K,2,6.9,6.6,6.6,0
甜点,K,34,7.4,7.6,7.5,37
甜点,K,83,6.8,6.8,6.7,43
美食,K,75,7.4,7.4,7.1,80
啡厅,K,65,7.5,7.7,7.4,67
啡厅,K,13,7.1,7.4,7.2,0
快餐,K,85,7.3,7.5,7.1,43
甜点,K,34,7.4,7.6,7.5,37
甜点,K,117,6.3,6.6,6.4,12
甜点,K,117,6.3,6.6,6.4,12
粤菜,K,0,0,0,0,0
美食,O,13,7.7,7.7,7.3,0
,,26,8,7.8,7.6,0
啡厅,K,73,7.9,8,7.8,73
助餐,K,2,7.1,7.1,7,0
美食,K,11,7.3,7.4,7.2,0
啡厅,K,1,7.4,7.4,7.1,0
粤菜,K,379,8.3,8,7.9,70
粤菜,K,223,8.1,8.4,7.8,60
粤菜,K,41,7.6,8,7.5,65
粤菜,K,47,6.6,6.8,6.8,50
快餐,K,102,8.2,8.3,8.4,51
快餐,K,237,7.8,7.5,7.6,35
快餐,K,130,7.5,7.4,7.2,33
快餐,K,159,7.3,7.3,7.2,51
快餐,K,14,7,7,6.8,0
快餐,K,8,7.4,7.2,7.4,0
本菜,K,51,6.9,7.1,7.1,93
料理,K,72,7.1,7.1,7.1,40
西餐,K,114,7.4,7.4,7.2,31
啡厅,K,35,7.6,7.3,7.2,40
美食,K,111,6.1,6.5,5.9,49
啡厅,K,35,7.6,7.3,7.2,40
啡厅,K,136,7.5,7.7,7.3,65
啡厅,K,28,7,7.1,7.2,35
啡厅,K,34,6.8,6.9,6.8,75
啡厅,K,173,7.4,7.6,7.6,52
啡厅,A,8,7.4,7.5,7.4,56
啡厅,K,5,6.9,6.8,6.9,0
快餐,K,159,7.3,7.3,7.2,51
甜点,K,23,7.7,7.7,7.7,95
美食,K,15,6.8,7.2,6.9,0
本菜,K,0,0,0,0,0
浙菜,K,76,7,7.5,7.3,80
助餐,K,1,7.4,7.4,7.4,0
粤菜,K,1,6.9,6.9,6.9,0
美食,K,49,8.3,8.4,7.7,71
美食,K,2,7.5,7.5,7.7,0
快餐,M,1,6.8,7.4,7.1,0
助餐,K,2,7.3,7.3,7.3,0
浙菜,G,30,7,7,7.1,8
快餐,B,1,7,6.9,7,0
快餐,B,3,6.9,6.9,7.1,0
烧烤,K,0,0,0,0,0
料理,K,6,7.7,7.7,7.7,0
川菜,K,12,7,6.7,6.7,26
快餐,K,1,7,7,7,0
川菜,K,62,7.3,6.9,6.9,27
美食,K,28,7.1,7.3,7.2,62
快餐,K,3,7.4,7.4,7.4,23
甜点,K,695,8.4,7.2,8.2,8
烧烤,K,44,6.9,6.7,6.8,34
烧烤,K,1,7,7,7,13
本菜,K,4,6.7,6.8,6.8,0
快餐,K,0,0,0,0,0
烧烤,K,123,6.9,6.9,7,43
料理,K,4,7.2,7,7.2,0
甜点,K,16,7.5,7.5,7.5,20
素菜,K,0,0,0,0,0
料理,K,0,0,0,0,0
料理,K,4,7,7,7,15
火锅,K,28,7.1,7.2,6.9,67
本菜,K,2,7.6,7.6,6.5,0
湾菜,K,0,0,0,0,0
烧烤,K,0,0,0,0,0
川菜,K,3,7,6.9,6.9,13
美食,K,16,7.4,7.7,7.7,19
烧烤,K,5,6.8,6.5,6.8,0
北菜,K,1,7.1,7.1,7.1,0
本菜,K,9,7.4,7.5,7.4,0
助餐,K,0,0,0,0,0
川菜,K,20,7.1,7,7,26
料理,K,0,0,0,0,0
啡厅,K,69,7.8,7.8,7.8,31
北菜,K,1,6.9,6.9,6.7,0
湘菜,K,0,0,0,0,28
浙菜,K,85,7.1,7.3,7.1,100
浙菜,K,57,7.3,7.6,7.3,167
海鲜,K,9,7.4,7.3,7.3,0
常菜,K,0,0,0,0,0
甜点,K,17,7.7,7.5,7.7,24
啡厅,K,26,8,8.2,8.3,50
粤菜,K,1475,7.6,8,8,92
烧烤,K,42,7.3,7.5,7.3,135
甜点,K,17,0,0,0,74
甜点,K,19,7.9,7.9,7.9,0
西餐,K,127,7.5,7.5,7.4,56
啡厅,K,35,7.3,7.4,7.4,55
浙菜,K,13,7,7,7,40
川菜,K,557,8,8,7.9,67
本菜,K,144,7.5,7.6,8.4,74
本菜,K,144,7.5,7.6,8.4,74
美食,K,1,7,7,7.2,0
疆菜,K,9,7.2,6.8,6.9,0
啡厅,K,14,7.5,7.6,7.7,20
美食,K,307,7.9,8.1,7.8,82
美食,K,307,7.9,8.1,7.8,82
本菜,K,6,6.8,7,6.7,0
常菜,K,0,0,0,0,0
美食,K,9,7.4,7.4,7.4,65
啡厅,K,5,7.6,7.6,7.6,0
啡厅,K,3,7.3,7.3,7.3,0
西餐,K,107,7.1,7.1,7.1,23
啡厅,K,0,0,0,0,0
粤菜,K,3400,7.6,7.8,7.4,80
快餐,K,136,7,6.9,6.8,23
火锅,K,224,8.6,8.7,8.4,90
本菜,K,0,0,0,0,0
湘菜,B,8,7.4,7.4,7.4,0
烧烤,B,3,7,6.8,6.9,0
浙菜,K,329,8,8,7.7,83
川菜,K,5,7.4,7.2,7,0
川菜,K,32,6.9,6.5,6.8,34
川菜,K,357,8.6,8.5,8,79
火锅,K,2,7,7,6.5,0
烧烤,K,59,7.3,7.4,6.5,113
烧烤,K,9,6.9,6.9,6.8,38
料理,K,1,7,7,7,19
西餐,K,3,7.4,7.4,7.4,0
甜点,K,38,8.3,8.3,8.2,0
火锅,K,1454,8.4,8.3,8.4,81
海鲜,K,2,7.1,7.1,7.1,0
火锅,K,169,8.8,8.5,8.7,61
火锅,K,68,6.6,6.5,6.5,72
本菜,K,107,6.5,6.9,6.6,97
本菜,K,107,6.5,6.9,6.6,97
海鲜,K,751,7.7,7.6,7.8,98
火锅,K,21,8.3,8.3,8.4,71
浙菜,K,29,7.3,7.6,7.5,127
海鲜,K,83,7.1,6.9,6.9,100
浙菜,K,296,7.6,7.7,7.8,150
浙菜,K,8,6.8,6.8,6.8,85
美食,K,217,7.9,7.4,7.4,76
湘菜,K,101,7.6,7.8,7.5,70
火锅,K,3749,8.9,8.9,8.7,78
火锅,K,3749,8.9,8.9,8.7,78
快餐,K,67,6.8,7.5,7,17
啡厅,K,32,7.3,7.4,7.3,45
川菜,K,2,7.1,7.1,7.1,0
湘菜,K,3,7.3,7.2,7.3,62
烧烤,K,340,7,7.1,7.1,59
烧烤,K,340,7,7.1,7.1,59
快餐,K,2,7.3,7.3,7.3,18
浙菜,K,16,7.1,7.5,7.2,0
浙菜,K,28,7.4,7.2,7.4,69
烧烤,K,563,8.1,7.7,8.1,84
烧烤,K,2,7,6.8,7.2,0
美食,K,1,7.4,7.4,7.4,0
火锅,K,164,8.2,8.1,8.5,70
火锅,K,792,7.3,7.4,7,97
美食,K,2,7,7,7,0
川菜,K,44,7.2,7.1,7.3,56
快餐,K,114,8,7.8,7.9,39
快餐,K,114,8,7.8,7.9,39
火锅,K,408,7.7,8.4,8.1,132
火锅,K,408,7.7,8.4,8.1,132
快餐,K,1,7,6.9,7,16
烧烤,K,3,6.9,6.9,6.9,0
快餐,K,3,7,6.9,7,0
美食,K,16,6.9,6.9,6.9,88
疆菜,K,16,7.3,7.2,7.5,53
火锅,K,166,8.4,7.7,7.6,73
烧烤,K,134,6.9,7.2,6.6,96
快餐,K,1,7,7,7,0
快餐,K,25,7.5,7.2,7.3,17
浙菜,K,6,7,7,6.6,0
龙虾,K,0,0,0,0,0
川菜,K,3,7.4,7.1,7.3,35
火锅,K,391,8,7.6,7.5,52
啡厅,K,5,7.4,7.4,7.4,0
烧烤,K,2,7.3,7.1,7.3,0
粤菜,K,8,7.2,6.9,7.2,0
浙菜,J,1,7.2,7.2,7.2,0
甜点,K,45,7.4,7.5,7.4,21
川菜,K,15,7.4,7.4,7.4,27
甜点,K,49,7.3,7.4,7.3,20
火锅,K,119,7,6.8,6.7,93
海鲜,K,118,7.1,7.1,7,110
甜点,K,665,8,8.2,7.9,49
亚菜,K,0,0,0,0,0
快餐,K,10,6.6,6.8,6.8,0
龙虾,K,1,7,7,7,0
湘菜,K,0,0,0,0,0
烧烤,K,0,0,0,0,0
西餐,K,196,7.6,7.5,7.6,31
西餐,K,196,7.6,7.5,7.6,31
甜点,K,47,7.2,7,6.9,30
火锅,K,54,7.1,7.1,7.3,59
烧烤,K,3,7.4,7,7.1,0
美食,K,11,6.8,6.7,7,34
湘菜,K,0,0,0,0,0
常菜,K,0,0,0,0,0
常菜,K,0,0,0,0,0
浙菜,K,87,6.9,6.8,6.9,67
快餐,K,0,0,0,0,0
北菜,K,3,7,6.9,7,68
火锅,,1,6.9,6.9,6.9,0
快餐,,1,6.9,6.9,6.9,0
美食,K,2,7.4,7.3,7.3,43
啡厅,K,23,7.1,7.4,7.3,48
快餐,K,2,7.6,7.3,7.3,0
快餐,K,1,7,7,7,0
啡厅,K,0,0,0,0,0
火锅,K,2,6.7,6.5,6.5,0
火锅,K,63,8,7.7,7.2,81
素菜,K,0,0,0,0,0
快餐,K,19,7.2,7,7.1,11
助餐,K,0,0,0,0,0
快餐,K,13,6.5,6.7,6.6,14
浙菜,K,31,7.4,7.2,7.3,40
快餐,K,18,7.3,7.1,6.9,0
海鲜,K,4,7.6,7.6,7.8,0
海鲜,K,1,7.2,6.9,7,0
快餐,K,5,7.3,7.3,7.3,0
烧烤,K,1,7,6.9,7,0
烧烤,K,1,7,7,7,0
烧烤,K,74,7.3,7,7.1,37
啡厅,K,10,7.4,7.6,7.6,0
浙菜,K,282,7.3,7.4,7.3,126
海鲜,K,39,6.9,6.8,6.9,113
海鲜,K,39,6.9,6.8,6.9,113
海鲜,K,31,7.2,6.8,7,110
川菜,K,2,7,6.9,7,29
北菜,K,14,7.3,6.9,7.1,42
常菜,K,6,7.7,7.6,7.7,0
本菜,K,0,0,0,0,0
蟹宴,K,1,7.5,7.5,7.5,0
快餐,K,10,7.5,7.5,7.5,0
海鲜,K,79,7.1,7.3,7.1,84
快餐,K,10,7.5,7.5,7.5,0
北菜,K,0,0,0,0,0
北菜,K,0,0,0,0,0
火锅,K,5,7,6.8,7.1,18
啡厅,K,0,0,0,0,0
美食,K,4,7.2,7.1,7.2,0
海鲜,F,3,7.3,7.2,7.2,0
甜点,K,16,7.1,7,7,10
甜点,K,16,7.1,7,7,10
浙菜,K,754,7.9,8.4,7.9,66
川菜,K,128,6.5,6.8,6.5,75
粤菜,K,3471,7.7,8,7.5,80
